,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,ModelUsed,Hyperparameters,Training Described
329,FANCI : Feature-based Automated NXDomain Classification and Intelligence,Samuel Schuppen; Dominik Teubert; Patrick Herrmann,1,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-schuppen.pdf,1,3,1,2,0,0,0,0,4,0,-1,Random Forests and Support Vector Machines,2,2
331,When Does Machine Learning FAIL? Generalized Transferability for Evasion and Poisoning Attacks,Octavian Suciu; Radu Marginean; Yigitcan Kaya; Hal Daume III; Tudor Dumitras,0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-suciu.pdf,1,1,1,2,0,0,0,0,4,1,-1,Convolutional neural network; Linear SVM; Random forest,1,2
333,A4NT: Author Attribute Anonymity by Adversarial Training of Neural Machine Translation,Rakshith Shetty; Bernt Schiele; Mario Fritz,0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-shetty.pdf,1,3,1,0,1,0,0,0,1,1,-1,Neural Networks,2,2
335,Formal Security Analysis of Neural Networks using Symbolic Intervals,Shiqi Wang; Kexin Pei; Justin Whitehouse; Junfeng Yang; Suman Jana,0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-wang_0.pdf,1,3,2,0,0,0,0,0,4,1,-1,Neural Networks,2,0
337,Automated Website Fingerprinting through Deep Learning,Vera Rimmer; Davy Preuveneers; Marc Juarez; Tom Van Goethem; Wouter Joosen,0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_03A-1_Rimmer_paper.pdf,1,1,1,1,0,0,0,0,3,0,0,Deep neural network,2,2
342,K-means++ vs. Behavioral Biometrics: One Loop to Rule Them All,Parimarjan Negi; Prafull Sharma; Vivek Sanjay Jain; Bahman Bahmani,0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_03B-2_Negi_paper.pdf,1,1,2,0,0,0,0,1,1,1,-1,K++-means clustering and Behavioral Biometrics,2,2
352,ABY3 : A Mixed Protocol Framework for Machine Learning,Payman Mohassel and Peter Rindal,0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243760?casa_token=pOWuKKVHyMYAAAAA:fGWL8KT5eaEmP_EmFHHA31-tqeEoQFvgBOr386UmNjUehvOcmV_N5wbmsJF7Eu3BUzXT43fwRlqt,1,3,2,2,0,0,0,0,0,-1,0,Linear Regression; Logistic Regression; Neural Networks; Inference,1,1
364,Pinto: Enabling Video Privacy for Commodity IoT Cameras,Hyunwoo Yu; Jaemin Lim; Kiyeon Kim; Suk-Bok Lee,0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243830,1,1,0,1,0,0,0,0,0,-1,0,Deep Learning,0,2
366,Secure Outsourced Matrix Computation and Application to Neural Networks,Xiaoqian Jiang; Miran Kim; Kristin Lauter; Yongsoo Song,1,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243837,1,1,2,2,0,0,0,0,4,1,-1,Convolutional Neural Network,2,1
371,DeepCorr: Strong Flow Correlation Attacks on Tor Using Deep Learning,Milad Nasr; Alireza Bahramali; Amir Houmansadr,0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243824,1,3,1,0,0,0,0,1,1,1,-1,Deep Learnning; Neural Networks,2,2
372,Privacy-Preserving Dynamic Learning of Tor Network Traffic,Rob Jansen; Matthew Traudt; Nicholas Hopper,,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243815,1,1,2,0,0,0,1,1,1,1,-1,Hidden Markov Modeling,2,2
373,Deep Fingerprinting: Undermining Website Fingerprinting Defenses with Deep Learning,Payap Sirinam; Mohsen Imani; Marc Juarez; Matthew Wright,0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243768,1,1,2,0,0,0,0,1,1,1,-1,Convolutional Neural Network,2,2
387,High Precision Open-World Website Fingerprinting,Tao Wang,0,S&P,2020,https://xplorestaging.ieee.org/ielx7/9144328/9152199/09152806.pdf?arnumber=9152806,1,1,2,1,0,0,0,0,1,0,-1,"Scoring, SVM, knn, random forest, Neural Networks",1,2
388,HopSkipJumpAttack: A Query-Efficient Decision-Based Attack,Jianbo Chen; Michael I. Jordan; Martin J. Wainwright,1,S&P,2020,https://xplorestaging.ieee.org/ielx7/9144328/9152199/09152788.pdf?arnumber=9152788,1,1,2,2,0,0,0,0,4,1,-1,Random Forest,2,2
389,Intriguing Properties of Adversarial ML Attacks in the Problem Space,Fabio Pierazzi; Feargus Pendlebury; Jacopo Cortellazzi; Lorenzo Cavallaro,0,S&P,2020,https://xplorestaging.ieee.org/ielx7/9144328/9152199/09152781.pdf?arnumber=9152781,1,2,2,2,0,0,0,0,4,0,-1,Sec-SVM,2,2
399,SAVIOR: Securing Autonomous Vehicles with Robust Physical Invariants,Raul Quinonez; Luis Salazar; Erick Bauman; Alvaro Cardenas; Zhiqiang Lin,0,Usenix,2020,https://www.usenix.org/system/files/sec20-quinonez.pdf,1,1,2,1,0,0,0,0,0,-1,0,System Identifcation Algorith,1,0
418,FuzzGuard: Filtering out Unreachable Inputs in Directed Grey-box Fuzzing through Deep Learning,Peiyuan Zong; Tao Lv; Dawei Wang; Zizhuang Deng; Ruigang Liang; Kai Chen,0,Usenix,2020,https://www.usenix.org/system/files/sec20-zong.pdf,1,1,1,1,0,0,0,0,0,-1,1,Convolutional Neural Network,2,2
419,On Training Robust PDF Malware Classifiers,Yizheng Chen; Shiqi Wang; Dongdong She; Suman Jana,0,Usenix,2020,https://www.usenix.org/system/files/sec20-chen-yizheng.pdf,1,1,2,0,1,0,0,0,1,1,-1,Neural Network,2,2
421,Montage: A Neural Network Language Model-Guided JavaScript Engine Fuzzer,Suyoung Lee; HyungSeok Han; Sang Kil Cha; Sooel Son,0,Usenix,2020,https://www.usenix.org/system/files/sec20-lee-suyoung.pdf,1,1,2,0,0,0,0,0,7,0,-1,Neural Networks,2,2
422,Devil’s Whisper: A General Approach for Physical Adversarial Attacks against Commercial Black-box Speech Recognition Devices,Yuxuan Chen; Xuejing Yuan; Jiangshan Zhang; Yue Zhao; Shengzhi Zhang; Kai Chen; XiaoFeng Wang,0,Usenix,2020,https://www.usenix.org/system/files/sec20-chen-yuxuan.pdf,1,1,2,0,1,0,0,0,8,0,0,Does not specify,0,2
425,Automatic Inference of Search Patterns for Taint-Style Vulnerabilities,"Fabian Yamaguchi, Alwin Maier, Hugo Gascon, Konrad Rieck",0,S&P,2015,https://doi.org/10.1109/SP.2015.54,1,1,0,0,0,0,0,0,0,-1,0,Clustering,2,0
426,GraphSC: Parallel Secure Computation Made Easy,"Kartik Nayak, Xiao Shaun Wang, Stratis Ioannidis, Udi Weinsberg, Nina Taft, Elaine Shi",0,S&P,2015,https://doi.org/10.1109/SP.2015.30,1,3,1,0,0,0,0,0,4,1,-1,Graph Based Algorithm,0,0
428,PowerSpy: Location Tracking Using Mobile Device Power Analysis,"Yan Michalevsky, Aaron Schulman, Gunaa Arumugam Veerapian, Dan Bonehy; Gabi Nakibly",0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-michalevsky.pdf,1,1,1,0,0,0,0,0,0,-1,0,Dynamic Time Warping,2,2
430,Sunlight: Fine-grained Targeting Detection at Scale with Statistical Confidence,"Mathias Lécuyer, Riley Spahn, Yannis Spiliopolous, Augustin Chaintreau, Roxana Geambasu, Daniel J. Hsu",0,CCS,2015,https://doi.org/10.1145/2810103.2813614,1,1,2,2,0,0,0,0,7,1,-1,Unspecified Classification and Regression Methods,0,2
431,Towards Making Systems Forget with Machine Unlearning,"Yinzhi Cao, Junfeng Yang",0,S&P,2015,https://doi.org/10.1109/SP.2015.35,1,5,1,0,0,0,0,0,4,1,-1,Adaptive SQ Learning,2,2
450,A Lightweight IoT Cryptojacking Detection Mechanism in Heterogeneous Smart Home Networks,"Ege Tekiner, Abbas Acar, A. Selcuk Uluagac",0,NDSS,2022,https://www.ndss-symposium.org/ndss-paper/auto-draft-196/,1,1,2,1,1,1,1,0,7,0,-1,"Logreg,KNN,SVM,RF",2,0
454,Auditing Membership Leakages of Multi-Exit Networks,"Zheng Li, Yiyong Liu, Xinlei He, Ning Yu, Michael Backes, Yang Zhang",1,CCS,2022,https://doi.org/10.1145/3548606.3559359,1,8,0,0,0,0,0,0,0,0,0,MLP,2,2
455,BadEncoder: Backdoor Attacks to Pre-trained Encoders in Self-Supervised Learning,"Jinyuan Jia, Yupei Liu, Neil Zhenqiang Gong",0,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833644,1,1,2,0,0,0,0,0,1,1,-1,"Image Encoder, Neural Network, MLP",0,0
456,Binoculars: Contention-Based Side-Channel Attacks Exploiting the Page Walker,"Zirui Neil Zhao, Adam Morrison, Christopher W. Fletcher and Josep Torrellas",0,Usenix,2022,https://www.usenix.org/system/files/sec22-zhao-zirui.pdf,1,1,2,1,0,0,1,1,7,0,-1,random forest classifier,1,2
458,Clues in Tweets: Twitter-Guided Discovery and Analysis of SMS Spam,"Siyuan Tang, Xianghang Mi, Ying Li, XiaoFeng Wang, Kai Chen",0,CCS,2022,https://doi.org/10.1145/3548606.3559351,1,1,2,1,1,0,1,1,1,0,-1,NN,2,2
459,DEEPCASE: Semi-Supervised Contextual Analysis of Security Events,"Thijs van Ede, Hojjat Aghakhani, Noah Spahn, Riccardo Bortolameotti, Marco Cova, Andrea Continella, Maarten van Steen, Andreas Peter, Christopher Kruegel, Giovanni Vigna",1,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833671,1,1,2,2,0,1,1,1,3,0,-1,"NN, NLP",2,2
460,DeepCoFFEA: Improved Flow Correlation Attacks on Tor via Metric Learning and Amplification,"Se Eun Oh, Taiji Yang, Nate Mathews, James K. Holland, Mohammad Saidur Rahman, Nicholas Hopper, Matthew Wright",0,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833801,1,1,2,0,0,1,1,1,1,0,-1,"kNN, cosine similarity, CNN",1,0
461,DeepSteal: Advanced Model Extractions Leveraging Efficient Weight Stealing in Memories,"Adnan Siraj Rakin, Md Hafizul Islam Chowdhuryy, Fan Yao, Deliang Fan",0,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833743,1,1,1,1,0,1,1,1,4,0,-1,DNN,0,0
464,DRAWN APART: A Device Identification Technique based on Remote GPU Fingerprinting,"Tomer Laor, Naif Mehanna, Antonin Durey, Vitaly Dyadyuk, Pierre Laperdrix, Clémentine Maurice, Yossi Oren, Romain Rouvoy, Walter Rudametkin, Yuval Yarom",0,NDSS,2022,https://www.ndss-symposium.org/ndss-paper/auto-draft-242/,1,1,1,1,0,1,1,1,1,0,-1,kNN,0,0
468,Goshawk: Hunting Memory Corruptions via Structure-Aware and Object-Centric Memory Operation Synopsis,"Yunlong Lyu, Yi Fang, Yiwei Zhang, Qibin Sun, Siqi Ma, Elisa Bertino, Kangjie Lu, Juanru Li",0,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833613,1,1,2,2,0,0,1,1,1,0,-1,NLP,2,2
469,Hark: A Deep Learning System for Navigating Privacy Feedback at Scale,"Hamza Harkous, Sai Teja Peddinti, Rishabh Khandelwal, Animesh Srivastava, Nina Taft",2,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833729,1,1,0,0,0,0,0,0,0,0,0,NLP,2,2
470,Harnessing Perceptual Adversarial Patches for Crowd Counting,"Shunchang Liu, Jiakai Wang, Aishan Liu, Yingwei Li, Yijie Gao, Xianglong Liu, Dacheng Tao",1,CCS,2022,https://doi.org/10.1145/3548606.3560566,1,1,1,0,1,0,1,1,0,-1,0,"CNN, ResNet, CAN, BL, DM-Count, SASNet",1,2
475,On the Privacy Risks of Cell-Based NAS Architectures,"Hai Huang, Zhikun Zhang, Yun Shen, Michael Backes, Qi Li, Yang Zhang",1,CCS,2022,https://doi.org/10.1145/3548606.3560619,1,1,2,0,0,0,0,0,4,0,-1,,0,1
480,Phishing URL Detection: A Network-based Approach Robust to Evasion,"Taeri Kim, Noseong Park, Jiwon Hong, Sang-Wook Kim",0,CCS,2022,https://doi.org/10.1145/3548606.3560615,1,1,1,1,0,0,0,0,3,0,-1,"GCN, NLP",1,1
483,Reconstructing Training Data with Informed Adversaries,"Borja Balle, Giovanni Cherubin, Jamie Hayes",3,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833677,1,1,0,1,0,0,1,1,4,0,-1,PCA,0,1
484,SHADEWATCHER: Recommendation-guided Cyber Threat Analysis using System Audit Records,"Jun Zeng, Xiang Wang, Jiahao Liu, Yinfang Chen, Zhenkai Liang, Tat-Seng Chua, Zheng Leong Chua",1,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833669,1,1,2,2,0,0,0,0,1,0,-1,Graph Neural Network,2,2
490,Targeted Deanonymization via the Cache Side Channel: Attacks and Defenses,Mojtaba Zaheri Yossi Oren and Reza Curtmola,0,Usenix,2022,https://www.usenix.org/system/files/sec22-zaheri.pdf,1,1,2,1,0,0,0,0,1,0,,LSTM,2,1
491,"The Closer You Look, The More You Learn: A Grey-box Approach to Protocol State Machine Learning","Chris McMahon Stone, Sam L. Thomas, Mathy Vanhoef, James Henderson, Nicolas Bailluet, Tom Chothia",1,CCS,2022,https://doi.org/10.1145/3548606.3559365,1,1,2,1,0,0,0,0,1,0,-1,State ML,0,0
496,Exposing the Rat in the Tunnel: Using Traffic Analysis for Tor-based Malware Detection,"Priyanka Dodia, Mashael AlSabah, Omar Alrawi, Tao Wang",0,CCS,2022,https://dl.acm.org/doi/pdf/10.1145/3548606.3560604,1,1,2,0,0,0,0,0,1,0,-1,"Supervised Classifier, FPR, Auto ML, Neural Networks, LightGBN, CatBoost, XGBoost, Random Forest, ExtraTrees, KNN, Logistic Regression, Tabular Neural Networks",0,2
502,Stealing Machine Learning Models via Prediction APIs,"Florian Tramèr, Fan Zhang, Ari Juels, Michael K. Reiter, Thomas Ristenpart",0,Usenix,2016,https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_tramer.pdf,1,1,1,1,0,0,0,0,-1,0,0,"Decision Tree, Binary Logistic Regression, Neural Networks",2,2
512,Efficient Private Statistics with Succinct Sketches,"Luca Melis, George Danezis, and Emiliano De Cristofaro",0,NDSS,2016,https://www.ndss-symposium.org/wp-content/uploads/2017/09/efficient-private-statistics-with-succinct-sketches.pdf,1,3,2,2,0,0,0,0,0,0,0,"KNN, Exponential Weighted Moving Average (EWMA)",0,1
518,Increasing Adversarial Uncertainty to Scale Private Similarity Testing,"Yiqing Hua, Armin Namavari, Kaishuo Cheng, Mor Naaman, Thomas Ristenpart",0,Usenix,2022,https://www.usenix.org/system/files/sec22-hua.pdf,1,1,1,2,0,0,1,1,1,0,-1,"Bayes, AUC-ROC",2,2
521,Lumos: Identifying and Localizing Diverse Hidden IoT Devices in an Unfamiliar Environment,"Rahul Anand Sharma, Elahe Soltanaghaei, Anthony Rowe, Vyas Sekar",0,Usenix,2022,https://www.usenix.org/system/files/sec22-sharma-rahul.pdf,1,1,0,1,0,0,0,0,0,0,0,Classifier,0,1
522,ML-Doctor: Holistic Risk Assessment of Inference Attacks Against Machine Learning Models,"Yugeng Liu, Rui Wen, Xinlei He, Ahmed Salem, Zhikun Zhang, and Michael Backes, Emiliano De Cristofaro, Mario Fritz and Yang Zhang",0,Usenix,2022,https://www.usenix.org/system/files/sec22-liu-yugeng.pdf,1,5,2,1,0,0,0,0,4,0,-1,"CNN, image classification",2,2
526,Rendering Contention Channel Made Practical in Web Browsers,"Shujiang Wu, Jianjia Yu, Min Yang, Yinzhi Cao",0,Usenix,2022,https://www.usenix.org/system/files/sec22-wu-shujiang.pdf,1,1,2,1,0,0,0,0,7,0,-1,"DNN, CNN, classifiication",1,0
539,Hiding in Plain Sight? On the Efficacy of Power Side Channel-Based Control Flow Monitoring ,"Yi Han, Matthew Chan, Zahra Aref, Nils Ole Tippenhauer, Saman Zonouz",0,Usenix,2022,https://www.usenix.org/system/files/sec22-han.pdf,1,1,2,2,0,0,0,0,0,0,0,"Neural Networks (BiLSTM), RNN (BiRNN), Markov (HMM)",1,1
544,Automated Side Channel Analysis of Media Software with Manifold Learning ,"Yuanyuan Yuan, Qi Pang, and Shuai Wang",0,Usenix,2022,https://www.usenix.org/system/files/sec22-yuan-yuanyuan.pdf,1,1,2,0,1,0,0,0,7,0,-1,"Deep Neural Networks, CNN",2,2
545,FOAP: Fine-Grained Open-World Android App Fingerprinting,"Jianfeng Li, Hao Zhou, Shuohan Wu, Xiapu Luo, Ting Wang, Xian Zhan, Xiaobo Ma",0,Usenix,2022,https://www.usenix.org/system/files/sec22-li-jianfeng.pdf,1,1,1,1,1,1,0,0,2,0,-1,Random Forest,2,2
546,SkillDetective: Automated Policy-Violation Detection of Voice Assistant Applications in the Wild,"Jeffrey Young, Song Liao, and Long Cheng, Hongxin Hu, Huixing Deng",0,Usenix,2022,https://www.usenix.org/system/files/sec22-young.pdf,1,1,2,2,0,0,0,0,7,0,-1,FNN,1,1
547,Hand Me Your PIN! Inferring ATM PINs of Users Typing with a Covered Hand,"Matteo Cardaioli, Stefano Cecconello, Mauro Conti, Simone Milani, Stjepan Picek, Eugen Saraci",0,Usenix,2022,https://www.usenix.org/system/files/sec22-cardaioli.pdf,1,1,0,0,0,0,0,0,1,0,-1,"CNN, LRCM, LSTM",1,2
552,Cheetah: Lean and Fast Secure Two-Party Deep Neural Network Inference,"Zhicong Huang, Wen-jie Lu, Cheng Hong, and Jiansheng Ding",3,Usenix,2022,https://www.usenix.org/system/files/sec22-huang-zhicong.pdf,1,3,2,1,0,1,1,0,4,0,-1,"Neural Networks, DNN",1,0
553,Inferring Phishing Intention via Webpage Appearance and Dynamics: A Deep Vision Based Approach,"Ruofan Liu, Yun Lin, Xianglin Yang, Siang Hwee Ng, Dinil Mon Divakaran, Jin Song Dong",1,Usenix,2022,https://www.usenix.org/system/files/sec22-liu-ruofan.pdf,1,1,2,1,0,0,1,1,7,0,-1,"R-CNN, object detection model, Siamese model",0,2
556,Khaleesi: Breaker of Advertising and Tracking Request Chains,"Umar Iqbal, Charlie Wolfe, Charles Nguyen, Steven Englehardt, Zubair Shafiq",1,Usenix,2022,https://www.usenix.org/system/files/sec22-iqbal.pdf,1,1,2,1,1,0,1,1,1,0,-1,Classification,0,2
557,DeepPhish: Understanding User Trust Towards Artificially Generated Profiles in Online Social Networks,"Jaron Mink, Licheng Luo, Natã M. Barbosa, Olivia Figueira, Yang Wang, Gang Wang",0,Usenix,2022,https://www.usenix.org/system/files/sec22-mink.pdf,1,1,1,0,0,0,0,0,0,0,0,StyleGAN2 (generative model),1,2
559,Leaky Forms: A Study of Email and Password Exfiltration Before Form Submission,"Asuman Senol, Gunes Acar, Mathias Humbert, Frederik Zuiderveen Borgesius",0,Usenix,2022,https://www.usenix.org/system/files/sec22-senol.pdf,1,1,2,0,0,0,0,0,1,0,-1,Classification,0,0
562,Transferring Adversarial Robustness Through Robust Representation Matching,"Pratik Vaishnavi, Kevin Eykholt, Amir Rahmati",1,Usenix,2022,https://www.usenix.org/system/files/sec22-vaishnavi.pdf,1,1,2,0,1,0,0,0,4,0,-1,DNN,1,2
565,Membership Inference Attacks From First Principles,"Nicholas Carlini, Steve Chien, Milad Nasr, Shuang Song, Andreas Terzis, Florian Tram√®r",2,S&P,2022,https://doi.org/10.1109/SP46214.2022.9833649,1,1,2,0,0,0,0,0,4,0,-1,Neural Networks,0,0
567,Who Are You (I Really Wanna Know)? Detecting Audio DeepFakes Through Vocal Tract Reconstruction,"Logan Blue, Kevin Warren, Hadi Abdullah, Cassidy Gibson, Luis Vargas, Jessica O’Dell, Kevin Butler, and Patrick Traynor",0,Usenix,2022,https://www.usenix.org/system/files/sec22-blue.pdf,1,1,1,1,0,0,0,0,5,0,-1,,0,1
568,Are Your Sensitive Attributes Private? Novel Model Inversion Attribute Inference Attacks on Classification Models,"Shagufta Mehnaz, Sayanton V. Dibbo, Ehsanul Kabir, Ninghui Li, Elisa Bertino",0,Usenix,2022,https://www.usenix.org/system/files/sec22-mehnaz.pdf,1,1,2,0,1,1,1,1,7,0,-1,"DNN, Decision Tree",0,1
569,How Machine Learning Is Solving the Binary Function Similarity Problem,"Andrea Marcelli, Mariano Graziano, Xabier Ugarte-Pedrero, Yanick Fratantonio, Mohamad Mansouri, Davide Balzarotti",3,Usenix,2022,https://www.usenix.org/system/files/sec22-marcelli.pdf,1,1,2,0,0,0,0,0,7,0,0,"Bayesian Networks, CNN, Graph Matching Networks (GMN), FNN, NLP",1,2
571,Blacklight: Scalable Defense for Neural Networks against Query-Based Black-Box Attacks,"Huiying Li, Shawn Shan, Emily Wenger, Jiayun Zhang, Haitao Zheng, Ben Y. Zhao",0,Usenix,2022,https://www.usenix.org/system/files/sec22-li-huiying.pdf,1,1,1,1,0,0,1,3,4,0,-1,DNN,0,1
574,Teacher Model Fingerprinting Attacks Against Transfer Learning,"Yufei Chen, Chao Shen, Cong Wang, Yang Zhang",0,Usenix,2022,https://www.usenix.org/system/files/sec22-chen-yufei.pdf,1,1,1,0,1,0,0,0,4,1,-1,Teacher/Student Models,1,2
576,Piranha: A GPU Platform for Secure Computation,"Jean-Luc Watson, Sameer Wagh, and Raluca Ada Popa",0,Usenix,2022,https://www.usenix.org/system/files/sec22-watson.pdf,1,1,2,0,0,0,0,0,4,0,-1,Neural Networks,1,1
578,DnD: A Cross-Architecture Deep Neural Network Decompiler,"Ruoyu Wu, Taegyu Kim, Dave (Jing) Tian, Antonio Bianchi, Dongyan Xu",0,Usenix,2022,https://www.usenix.org/system/files/sec22-wu-ruoyu.pdf,1,2,0,1,0,0,0,0,4,0,-1,DNN,2,2
580,Membership Inference Attacks and Defenses in Neural Network Pruning,"Xiaoyong Yuan, Lan Zhang",0,Usenix,2022,https://www.usenix.org/system/files/sec22-yuan-xiaoyong.pdf,1,1,2,1,0,0,0,0,7,1,-1,DNN,1,1
584,HARPO: Learning to Subvert Online Behavioral Advertising,"Jiang Zhang, Konstantinos Psounis, Muhammad Haroon, Zubair Shafiq",0,NDSS,2022,https://www.ndss-symposium.org/wp-content/uploads/2022-62-paper.pdf,1,3,0,1,0,0,0,0,4,0,-1,"DNN, CNN",0,0
588,EULER: Detecting Network Lateral Movement via Scalable Temporal Link Prediction,"Isaiah J. King, H. Howie Huang",0,NDSS,2022,https://www.ndss-symposium.org/wp-content/uploads/2022-107A-paper.pdf,1,1,1,0,0,0,0,0,4,0,-1,"RNN, GNN",1,1
591,MIRROR: Model Inversion for Deep Learning Network with High Fidelity,"Shengwei An, Guanhong Tao, Qiuling Xu, Yingqi Liu, Guangyu Shen, Yuan Yao, Jingwei Xu, Xiangyu Zhang",0,NDSS,2022,https://www.ndss-symposium.org/wp-content/uploads/2022-335-paper.pdf,1,1,1,0,0,0,1,1,4,0,-1,"StyleGAN, GAN",0,1
592,What You See is Not What the Network Infers: Detecting Adversarial Examples Based on Semantic Contradiction,"Yijun Yang, Ruiyuan Gao, Yu Li, Qiuxia Lai, Qiang Xu",0,NDSS,2022,https://www.ndss-symposium.org/wp-content/uploads/2022-1-paper.pdf,1,1,2,0,1,0,0,0,1,0,-1,DNN,1,2
593,RamBoAttack: A Robust Query Efficient Deep Neural Network Decision Exploit,"Viet Quoc Vo, Ehsan Abbasnejad, Damith C. Ranasinghe ",0,NDSS,2022,https://www.ndss-symposium.org/wp-content/uploads/2022-200-paper.pdf,1,1,2,0,0,0,0,0,4,0,-1,DNN,2,1
597,FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data,"Junjie Liang, Wenbo Guo, Tongbo Luo, Vasant Honavar, Gang Wang, Xinyu Xing",1,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_5C-4_24403_paper.pdf,1,1,1,0,1,1,1,1,1,1,-1,"Clustering (K Means, DBSCAN, DEC, DAGMM), unsupervised ML, ensemble model",2,2
598,CV-INSPECTOR: Towards Automating Detection of Adblock Circumvention,"Hieu Le, Athina Markopoulou, Zubair Shafiq",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_7C-1_24055_paper.pdf,1,3,1,2,1,1,1,1,2,0,0,None,0,0
602,Reducing Bias in Modeling Real-world Password Strength via Deep Learning and Dynamic Dictionaries,"Dario Pasquini, Marco Cianfriglia, Giuseppe Ateniese, Massimo Bernaschi",0,Usenix,2021,https://www.usenix.org/system/files/sec21-pasquini.pdf,1,1,2,0,0,1,1,1,1,0,-1,"DNN, multi-label classification",2,2
604,T-Miner: A Generative Approach to Defend Against Trojan Attacks on DNN-based Text Classification,"Ahmadreza Azizi, Ibrahim Asadullah Tahmid, Asim Waheed, Neal Mangaokar, Jiameng Pu, Mobin Javed, Chandan K. Reddy, Bimal Viswanath",,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/azizi,1,1,2,0,1,0,0,0,1,0,-1,"DNN (LSTM, Bi-LSTM, Transformer)",2,0
605,CADE: Detecting and Explaining Concept Drift Samples for Security Applications,"Limin Yang, Wenbo Guo, Qingying Hao, Arridhana Ciptadi, Ali Ahmadzadeh, Xinyu Xing, Gang Wang",1,Usenix,2021,https://www.usenix.org/system/files/sec21-yang-limin.pdf,1,1,2,0,1,1,1,1,1,0,-1,supervised learning/classifier,1,1
607,SyzVegas: Beating Kernel Fuzzing Odds with Reinforcement Learning,"Daimeng Wang, Zheng Zhang, Hang Zhang, Zhiyun Qian, Srikanth V. Krishnamurthy, Nael Abu-Ghazaleh",0,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/wang-daimeng,1,1,0,2,0,0,0,0,-1,-1,-1,reinforcement-learning,-1,0
608,ATLAS: A Sequence-based Learning Approach for Attack Investigation,"Abdulellah Alsaheel, Yuhong Nan, Shiqing Ma, Le Yu, Gregory Walkup, Z. Berkay Celik, Xiangyu Zhang, Dongyan Xu",0,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/alsaheel,1,1,2,0,0,0,0,0,1,0,-1,LSTM,0,0
609,ELISE: A Storage Efficient Logging System Powered by Redundancy Reduction and Representation Learning,"Hailun Ding, Shenao Yan, Juan Zhai, and Shiqing Ma",0,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/ding,1,1,1,1,0,0,0,0,3,0,0,DNN,1,1
610,DeepReflect: Discovering Malicious Functionality through Binary Reconstruction,"Evan Downing, Yisroel Mirsky, Kyuhong Park, Wenke Lee",0,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/downing,1,1,1,2,0,0,0,0,2,0,0,Autoencoder/neural networks,1,2
612,Compromised or Attacker-Owned: A Large Scale Classification and Study of Hosting Domains of Malicious URLs,"Ravindu De Silva, Mohamed Nabeel, Charith Elvitigala, Issa Khalil, Ting Yu, Chamath Keppitiyagama",0,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/desilva,1,1,0,0,0,1,1,1,1,0,-1,"support vector classification, random forest, extra tree, logistic regression, decision tree, gradient boosting, ada boosting, K-neighbors",0,1
613,Phishpedia: A Hybrid Deep Learning Based Approach to Visually Identify Phishing Webpages,"Yun Lin, Ruofan Liu, Dinil Mon Divakaran, Jun Yang Ng, Qing Zhou Chan, Yiwen Lu, Yuxuan Si, Fan Zhang, Jin Song Dong",0,Usenix,2021,https://www.usenix.org/conference/usenixsecurity21/presentation/lin,1,1,1,0,0,1,1,1,1,0,-1,"object detection, transfer-learning based Siamese model",0,1
